No.,District,PODs,Site_Name,N,S,W,E,Rainfall,latitude,longitude,lat_scaled,lon_scaled,Rainfall_Scaled,Cluster
1,Bida,Gbako,Batagi,9.197,9.017,6.026,6.206,34021.0,9.107,6.026,-0.44194920893428125,0.007883187396493317,-0.6132849328515049,0
2,Bida,Gbako,Batako,9.458,9.278,6.057,6.237,33475.0,9.368,6.057,0.4543553435357933,0.052719630092909524,-0.824291158456945,6
3,Bida,Lavun,Batati,9.313,9.133,5.659,5.839,34841.0,9.222999999999999,5.659,-0.04359163005869524,-0.5229224406546176,-0.29638913615469,2
4,Bida,Mokwa,Bokani,9.471,9.291,5.11,5.29,33360.0,9.381,5.11,0.4989988653063329,-1.3169613774395212,-0.86873386165223,2
5,Bida,Enagi,Dassun,9.49,9.31,5.368,5.548,34389.0,9.4,5.368,0.5642470894325071,-0.9438064672564513,-0.47106828262659284,2
6,Bida,Lavun,Edokota,9.25,9.07,5.857,6.037,34505.0,9.16,5.857,-0.2599410047928463,-0.23654774214202856,-0.42623912114265317,0
7,Bida,Gbako,Edozhigi A,9.199,9.019,5.76,5.94,34753.0,9.109,5.76,-0.4350809748157343,-0.376842417675974,-0.3303974655562994,0
8,Bida,Gbako,Edozhigi B,9.297,9.117,5.916,6.096,34012.0,9.207,5.916,-0.09853750300704604,-0.15121386733272166,-0.6167630574493967,0
9,Bida,Lavun,Egbako,9.43,9.25,5.718,5.898,35172.0,9.34,5.718,0.35820006587616726,-0.4375885658453107,-0.16847144261000008,6
10,Bida,Gbako,Etsu Audu,9.332,9.152,5.833,6.013,33832.0,9.242,5.833,0.02165659406748506,-0.27125982681022115,-0.6863255494072341,0
11,Bida,Edati,Etsu Tasha A,9.176,8.996,5.595,5.775,34849.0,9.086,5.595,-0.5140656671789963,-0.6154879997697977,-0.29329746984545274,2
12,Bida,Edati,Etsu Tasha B,9.176,8.996,5.595,5.775,34849.0,9.086,5.595,-0.5140656671789963,-0.6154879997697977,-0.29329746984545274,2
13,Bida,Enagi,Fazhi,9.297,9.117,5.504,5.684,34288.0,9.207,5.504,-0.09853750300704604,-0.7471046541366948,-0.5101005697807127,2
14,Bida,Edati,Gazhe One,9.047,8.867,5.672,5.852,34535.0,8.957,5.672,-0.9570667678251218,-0.5041200614593467,-0.4146453724830136,0
15,Bida,Edati,Gazhe Two,9.064,8.884,5.641,5.821,34211.0,8.974,5.641,-0.8986867778174945,-0.5489565041557617,-0.5398578580071209,0
16,Bida,Lavun,Gbadafu,9.17,8.99,5.755,5.935,34806.0,9.08,5.755,-0.5346703695346309,-0.3840741019818473,-0.3099151762576028,0
17,Bida,Gbako,Gbangba,9.474,9.294,6.15,6.33,33567.0,9.384,6.15,0.5093012164841503,0.18722895818215557,-0.788736995900717,6
18,Bida,Gbako,Gogata,9.242,9.062,6.026,6.206,33874.0,9.152000000000001,6.026,-0.28741394126702174,0.007883187396493317,-0.6700943012837387,0
19,Bida,Edati,Gonagi,9.057,8.877,5.508,5.688,34321.0,8.967,5.508,-0.9227255972323996,-0.7413193066919953,-0.4973474462551092,2
20,Bida,Enagi,Guzan,9.099,8.919,5.422,5.602,34373.0,9.009,5.422,-0.7784926807429634,-0.8657042767530191,-0.47725161524506726,2
21,Bida,Lavun,Jima,9.017,8.837,5.67,5.85,34417.0,8.927,5.67,-1.0600902796032947,-0.5070127351816959,-0.4602474505442625,0
